@relation titanic_train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute Class {-1.87,-0.923,0.0214,0.965}
@attribute Age {-0.228,4.38}
@attribute Sex {-1.92,0.521}
@attribute Survived {-1,1}

@data
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-0.923,4.38,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,4.38,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-0.923,4.38,-1.92,1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,4.38,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,1
0.0214,4.38,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,4.38,0.521,1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,-1.92,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,4.38,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,-1.92,1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,1
-1.87,4.38,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,4.38,-1.92,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,1
-0.923,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,4.38,0.521,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-0.923,4.38,0.521,1
-1.87,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,4.38,0.521,1
0.0214,-0.228,0.521,1
-0.923,-0.228,-1.92,-1
-1.87,-0.228,0.521,1
-1.87,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,4.38,-1.92,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-0.923,4.38,-1.92,1
-1.87,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-0.923,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,4.38,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,4.38,-1.92,-1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,-1.92,1
-0.923,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,1
0.0214,4.38,-1.92,1
-1.87,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.0214,4.38,-1.92,-1
0.0214,4.38,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,1
-0.923,-0.228,-1.92,1
-1.87,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
-0.923,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
-0.923,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.0214,4.38,0.521,1
-1.87,-0.228,-1.92,1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,0.521,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-0.923,4.38,-1.92,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
0.0214,4.38,-1.92,1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,1
-0.923,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,-1.92,-1
0.0214,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
-1.87,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,1
0.0214,-0.228,-1.92,-1
-1.87,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,1
-0.923,-0.228,-1.92,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
-1.87,-0.228,-1.92,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,1
0.965,-0.228,0.521,1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.0214,-0.228,-1.92,1
-1.87,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,-1.92,1
-1.87,-0.228,-1.92,1
0.965,-0.228,0.521,-1
-1.87,-0.228,-1.92,1
0.0214,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
-1.87,-0.228,0.521,1
-0.923,-0.228,0.521,-1
-0.923,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,4.38,0.521,-1
0.0214,-0.228,0.521,-1
0.965,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,0.521,-1
0.0214,-0.228,-1.92,1
0.965,-0.228,0.521,-1
0.965,-0.228,0.521,-1
-1.87,-0.228,0.521,-1
